,q1,q2,is_duplicate
5407,Who is a good candidate for the title of President of India?,Who is the oldest female Olympic athlete of all time?,0
4408,What kind of animal is a lion?,What type of creature is a tiger?,0
5253,What type of animal is a giraffe?,Where is the Alps located?,0
1346,What is the name of the zoo in the story?,How many planets have planetary rings?,0
4912,Who was appointed president of the US in 1969?,What is the meaning of the tittle?,0
4091,Who was the last of the ancient people to live on the Greek mainland?,Where did the Spartans live?,1
5613,What is the name of the musical based on the plot of the novel The Scarlet Pimpernel?,What did the Greeks call the island where they found a shipwreck that had a single unhatched egg?,0
1752,How many of the six major branches of the Catholic church are there?,What is the main purpose of the National Museum of Art?,0
5252,What is the name of the person that tries to find out why an election is called?,What is the name of the German motor racing driver?,0
6447,What does the term 'Twelve Tribes' mean?,What is the number of tribes in the Hebrew Bible?,1
55,What is the name of the revolving door in the film 'The Shining'?,What is the name of the area of land in which the sun can not shine?,0
5362,What is the name of the main borough of Manhattan?,"Who did the Pope call a ""dodgy Pope""?",0
1827,What is the name for a non-profit organization that assists in the education of children?,How many times was the Queen re-elected?,0
7194,What is the name of the new currency introduced in Nigeria?,What is the name of the pig-headed character in the novel To Kill a Mockingbird?,0
5694,How many members are there in the United Nations Security Council?,How would one describe someone who squints at a dune and tries to focus on it?,0
5974,Who were the first Europeans to reach Africa?,What was the name of the song that appeared in a film starring John Wayne and Joan Crawford?,0
3854,What is the capital of the Congo?,What is a common name for a plant that has a flower with white petals?,0
2648,What was the name of the magazine published by the United States in 1889?,What magazine featured an interview with Mark Twain?,1
6220,How did you feel as a child when you first saw a horse?,How does one determine the value of a random variable?,0
5844,What is the name of the dog on the t-shirt that you are wearing?,What is the name of the dog on the t-shirt you are wearing?,1
2452,What is the name of the astronomer who argued that the Earth is moving around the sun?,What is the nationality of the person that was killed in the film 'Babylon 6'?,0
5705,What is the name of the ring that is around the head of an individual?,What is the name for the ring that surrounds an individual's head?,1
7366,"What is a common term that is used for a person who demonstrates or acts in a sexist, racist, or ageist way?",Where is the Black Lives Matter movement headquartered?,1
4129,What is another name for a random long question?,How does the brain receive input?,1
2584,What are the shortest words in the English language?,How many letters are in the English language?,1
187,Why did Victoria send so many ships to the Americas?,Why did the victorian government invest in ships?,1
2169,What are the names of the different characters in a comic strip?,What are cartoon characters called?,1
5901,Where did Shakespeare's father die?,Whose body did Victoria take as a child?,0
5865,How many kilometres was the ship carrying the French to the new world?,When did the Ottoman Empire conquer Constantinople?,1
2689,Why are you interested in the speaker's name?,Who did the Soviet Union annex at the end of World War II?,0
252,Which city is located on the Baltic Sea?,What type of object is a spherical cylinder?,0
4601,What was the longest question on the SAT?,What was the longest question on the SAT?,1
6685,What is the name for the person who makes a comment when there is a disagreement between the speaker and the other person?,How do commentators feel about each other?,1
2165,How much did it cost for the United States to send two astronauts to the Moon?,How much did Dell pay in taxes in 2011?,1
3161,How much will it cost to make a trip from London to New York?,How much will it cost to make a trip from London to New York?,1
1001,What do you see on a game show?,Who does a contestant have to solve a mathematical problem for?,1
2615,What is another name for the human body?,What are we as a species known as?,1
923,What are the first three letters in the name of a bird?,How many points does each hexagram on the game of Go have?,0
6856,What is the name of the female character in the Harry Potter series of books?,Where was Avicenna born?,0
1411,What is the name of the game of chance in which players try to predict which number will come next in a roll of dice?,"What does it mean to have a ""sexy"" name?",0
2613,Where was the neolithic?,Where were the first people who lived in New York to settle?,0
437,What is the name of the system used to record a random question?,Why was the king of Aquitaine born?,0
1965,What did the Japanese do during the Korean War?,Where were the Japanese in the Korean war?,1
2793,How did the Roman Empire know about the rise of Christianity?,What are the smallest animals that are found in the Arctic?,0
6006,What is the name of the German national airline?,What did people use to build the pyramids?,0
2788,Where is the University of Manchester?,Where does the River Thames end?,0
1226,"What is the name of the board game, designed by Charles Darrow, that is sometimes known as a bluffing game?",What is the name of the fictional character created by Gilbert and Sullivan?,0
5998,What did the children of the king and queen do to the manservant?,who were the children of the king and queen to whom the servant did not report?,1
4759,Where did you take the pictures of this article?,What type of location was it?,1
6031,What is the common name for a sphinx?,"Which of these is not a genus of plant: cacti, orchids, or mosses?",0
7411,How can a person become a scientist?,How can a person become a scientist?,1
6449,What is one way the English language is changing in Africa?,Where did English originate?,1
4345,Who was the founder of the Freemasons?,Who commanded the army of the 16th Earl of Essex?,1
2284,What are the two main aims of the University of Wisconsin?,What is the longest runner's race held on a treadmill?,0
6868,What is the smallest ball in a game of backgammon?,What does a person eat when they are sick?,0
3932,What are the first 3 words of the first verse of Psalm 118:24?,What does the word king mean?,1
2668,How old was Victoria when she married Prince Albert?,Why was it important to write?,0
3315,What was the name of the spaceship in which Martians first traveled to Earth?,Which one is the correct name for the spaceship used to travel from Mars to Earth?,1
3711,What are all plants collectively called?,What was the name of the female inmate who attempted to murder a guard and wounded a prisoner in July?,0
6736,What was the name of the game invented by Avicenna?,Where did Napoleon make his last stand?,0
5895,What is a gynecological disorder characterized by?,"How many times was the word ""god"" used in the King James version of the New Testament?",0
5578,How many different questions can be in a multiple choice?,How many different questions can be in a multiple choice?,1
1677,"Which of the following is not a type of fruit: strawberry, orange, or grape?",What are the main characteristics of fruit?,1
7692,What is a common problem that occurs when an ethmoid bone is cut by a saw?,What was the name of the gang that was led by Alvin York and John Brown?,0
1201,What is the name of the book by Robert Louis Stevenson?,What is the name of the fabled land of Narnia?,0
2521,What are oestrogens and estradiols?,What does the game of chess use as the basic unit of comparison?,0
582,How are the XXXII Olympiads traditionally grouped?,What is the name for a'sugar skull'?,0
7185,What is the name of the new building the Cubs are moving into on their way to winning their first World Series?,What is the name of the board game that uses a dummy as a controller?,0
4772,How did Freddie Mercury die?,How did you know this person was your friend?,0
6637,What is a random long question?,What is the largest group of organisms?,1
5254,How did a horse get to be a thoroughbred?,How are thoroughbreds produced?,1
799,What is another name for a jigsaw puzzle?,What is the name of the group of creatures in the story?,0
7101,What is the nationality of the king of Bhutan?,What was the name of the Soviet general who defeated the British army at Waterloo?,0
4069,"How do you spell ""spirit"" in Greek?",How do you spell spirit in Greek?,1
435,What was the name of the 'It' girl in the Harry Potter films?,What is the inverse of a hemisphere?,0
4642,How many resurrected characters are there?,What does the word klutz mean?,0
2549,Who is the oldest of the four brothers in the family?,What is the oldest of the four brothers in the family?,1
90,How many characters does each sentence have?,How many characters are allowed to be entered in a text box?,1
3993,What does a male bald eagle have on its head?,Where did the 'Plebs' meet?,0
5648,What was the name of the october 1794 election?,What is the name of the book that describes how the atom was discovered?,0
422,Where is the 'Ayatollah Khomeini International Airport'?,What is the name of the largest seaport in the world?,0
7837,What is a Chinese word that refers to a place or thing where things are produced?,Where does a quangong occur?,1
6625,What do the Chinese call their currency?,What is the name for the Chinese currency?,1
1739,What is the name of the area bounded by the arcs?,What is the name of the area enclosed by the arcs?,1
5958,What do the ancient Egyptians do with dead animals?,What is another name for a womb?,0
5629,"Which of these is a genus of plants: lycoris, lilium, helianthus, and lilac?",What is the only planet that has both liquid water and ice in its crust?,0
4330,How many squares are there on a standard dartboard?,How many squares on a dartboard?,1
7858,What is the shortest period of time between a pair of consecutive events?,What is the name of the fictional country where the 'Egyptians' live?,0
3468,What do the letters A.B.C. represent in the acronym AIDS?,What is the national currency of the USA?,0
6454,What is the name of the fictional character from the Harry Potter books?,what was ronald weasley's real name?,1
3387,What did the king of the Aztecs call Mexico?,What was the Aztec name for Mexico?,1
870,"What does the French word ""gallicize"" mean?",Where in the human body is the adenohypothalamic nucleus?,0
7169,What is the name of the river which is on the other side of the Golden Gate Bridge?,What was the first word that appeared in the Bible?,0
2326,What is a term for something that is not expected to happen often but still takes place regularly?,How did the ancient Egyptians describe the dead?,0
2137,What is the name of the king of the Franks?,What Roman emperor was said to have had a penchant for playing with wild animals?,1
3173,What is the name of the alcoholic drink made from the fermented juice of the hop plant?,What is the name of the Japanese city located on the north coast of the island of Okinawa?,0
27,"What does the ""I"" in ""Neighbors"" stand for?",How can a person get help if they are in financial trouble?,1
756,"What does a ""random"" long question consist of?","What does a ""random"" long question consist of?",1
5586,What is the name of the new hotel in London?,How is the area in square metres?,0
7025,What is the full name of the Greek goddess of love and beauty?,What plant is used to make a cup of tea?,1
2598,Where are the earliest traces of agriculture found?,What does one do when he or she is bored?,0
5522,What does a random question ask?,Why was King Richard III born?,0
3421,What does the abbreviation ANSI stand for?,What is the first line of a love poem?,0
7293,What is a popular form of entertainment in Bermuda?,what is Bermuda famous for?,1
7725,What did Issac Newton develop?,What did Newton discover about gravity?,1
2750,What is the name of the character that is first introduced in the novel A Tale Of Two Cities?,What is the name of the sarcastic comic strip character whose name is pronounced snatch?,0
7912,What did Napoleon take to the French countryside?,What are the two most common genus of flowering plants found in the Alps?,0
1344,How many times has a player won the US Open?,What's the name of the tavern that serves as the local pub for the city of New York?,0
7781,What did Victoria supposedly call her husband?,Where did Bell find a home with his parents?,0
413,"What is the name of the only bird native to North America, that has been domesticated by Europeans?",What type of animal is a kangaroo?,0
429,How many years did it take for the Great Pyramid to be finished?,What is the shortest length of a line in a graph?,0
1428,What is the first letter in the word 'landscape'?,What was a significant change in the nature of the English language?,0
4421,"What is the name of the short story titled ""The Curse of the Werewolf""?",Who is the daughter of the Werewolf King?,1
3405,"What word beginning with G was pronounced ""guh"" in American English in the 1930s?",How many people are allowed to be in the same room at one time?,1
1757,How much did a Russian oligarch make from his investments in the 2000s?,How much was the bailout of the financial industry worth?,1
3814,"What does the ""I"" in ""Isis"" stand for?",What is the name of the horse that is used by the French in the jousting contests?,0
7861,What are the names of the five regions of Spain?,What are the names of the five regions of Spain?,1
88,What did Darwin see in the sea when he discovered it?,Where did this random question come from?,0
5476,How are the countries of the European Union currently governed?,What is the most common profession of an American who was born in the 19th century?,0
401,"What is the name of the character that uses the phrase ""Always the optimist""?",What is the title character of the book?,1
5071,What do you do if you have a broken leg?,What is the second letter in the English alphabet?,0
2433,How many players does an NFL team normally start?,What is the name of the body of water that separates the island of Cyprus from the rest of Greece?,0
5587,How many limbs are on a typical chimpanzee?,How many limbs are there on a chimpanzee?,1
6866,What is the name of the group who made a cult film starring Tim Burton and Helen Mirren in 1975?,How many aces did West lead the Cubs to in the 1934 World Series?,0
7327,What is the name of the game that involves throwing cards in a cup?,How are people classified as being a Scotch-Irish or English-Irish person?,1
2248,How many times have they won the title of Olympic Gold medalist?,How many stars did Nasa's Apollo 10 launch?,0
7118,What is the name of the Chinese New Year?,What is the Chinese New Year called?,1
4725,What was the name of the rogue narrator in the film?,What is another name for the period of time in which the ancient world existed?,0
4742,What was the name of the Russian czar who made his last voyage to Paris?,What is the name of the ruler of Russia during the reign of Peter the Great?,1
3984,How many 'letters' are there in the Russian alphabet?,What is the approximate age of the oldest person in Nigeria?,1
63,What is the main cause of the onset of puberty?,"What is the name of the sand-colored, light-hearted horse in Alice in Wonderland?",0
6033,How did the Romans refer to the emperor when referring to him as a 'king'?,What was the Roman emperor called when they referred to him as a king?,1
5651,Who was the last King of England to abdicate the throne?,Who was the third King of England?,1
1343,How many points are there in a square with 12 sides?,What are the 12 sides called?,1
3918,What is the name of the main character in the novel The War of the Worlds?,Why does the writer of the song feel that he does not deserve to have his name on the cover of the album?,0
2019,What is the main purpose of a genome?,What is the primary function of memory?,1
6607,How do people feel about the economy in Britain?,What type of car was the first to be made by Toyota?,0
349,What is a new term for a person who doesn't know how to sneeze?,What is the term for someone who doesn't know how to sneeze?,1
7631,What is the name of the smallest mammal in the world?,What is the name of the main male character?,0
3567,Which team lost their first game?,What is the name for a group of people who are in awe of a particular person?,0
7175,How many years did it take to build the Eiffel Tower?,What is a common name for a type of fungus which can grow on wood?,0
6555,What is the name of the fictional character who appeared in the 2009 film The Hangover?,What's the name of the fictional character played by Tom Hanks?,1
2861,What kind of vehicle was used to transport the corpse of Napoleon to Paris?,How long is an ambulance usually parked at the scene?,1
7678,"What does the French word ""gout"" mean?",What country's cricket team won the 2011 Cricket World Cup?,0
1701,What are the largest groups in the world?,What is the name of the smallest animal in the world?,0
3743,How did the vikings get into Denmark?,Where is the aqueduct that connects the northern and southern parts of the city?,0
6143,What is the name of the famous character from the book?,What type of animal is a saber-toothed tiger?,0
6396,How old was Albert Einstein when he died?,What is the nationality of the writer of the letter in the book The Jungle Book?,0
7594,What is the name of the first tyre designed by Dunlop for automobiles?,What does the Greek letter gamma represent?,0
5420,What is the name of the character from the book of Job who is killed by a hunter?,"What is the name of the Japanese group who released the single ""The Rainmaker""?",0
5941,What is the name of the person who acted as a court jester in the first Harry Potter book?,What did the French call the English?,0
1778,Who is the current leader of Nigeria?,What are the three main categories of fungi?,0
5469,What is the name of the short story collection that featured the book The Jungle Book?,Who is the scarecrow in the story?,1
411,What is the only known method for controlling the speed of sound?,What can be used to control the speed of sound?,1
4260,What is the name of the song that Madonna sings at her concert in Las Vegas?,What is the meaning of the term saxophone?,0
1869,"What is another name for an individual who carries out the task of building, repairing or installing?",what is an occupation of a construction worker?,1
618,How many letters are on the French language flag?,How many letters are on the French language flag?,1
6355,What is the most commonly used name for the genus of plants with a root system?,What type of plant is a moss?,1
6501,What does the acronym SPOILER mean?,What is the name of the dog gang in the story?,1
137,"What is the name of the nut, that resembles a walnut, found in Europe and the Americas?",Which group has been involved in the largest cyber attack on American soil?,0
3236,"What is the smallest number in the integers 1, 2, 3, 5, 7, 11, 15, 21, 33, 45, 57, 63, 77, 81, 87, 93?",What is the name of the person who is born in a person?,0
4777,What is the title of the first book of the Bible?,What did the Spanish eat for dinner?,0
5502,Who's 'Gangnam Style' is the most popular album in the world?,"What is a common name for a small, simple, non-profit association of individuals in a community?",0
2059,What is the largest landmass of the world?,What is the name of the king of Sweden in the 17th century?,0
5195,What is the name of the board game invented by James Thurber?,What is the name of the book that contains the fictional tale of a witch and a wizard?,0
2456,What was John's first name?,Where is the Alps?,0
5320,"Who was the only female king of Ireland, who ruled for just a few years?",Who are the 'Devil's Children'?,0
7639,How long has Nigeria had a President?,What do people eat if they don't want to go outside?,0
5837,What do we call a person who has a strong affinity for one thing?,What was the name of the first satellite launched by the Soviet Union?,0
7610,What is the name of the fictional city in the story?,Where was the fictional city?,1
2090,Where did the Swiss army invade in 1815?,How many major league baseball teams are there?,0
2250,"What is the name for a small, hard to reach, undeveloped area that is located at the end of a lane or alley?",How does one spell the word 'earth'?,0
456,What is the name of the river in Switzerland which flows into Lake Geneva?,How many hours per week does the average US citizen work?,0
7356,What is the name of the fictional character played by George Clooney in the 2005 film The Descendants?,What is the main function of a fungus?,0
2634,Where did Darwin live?,Where were the Egyptians from?,0
3498,What does a 'Question' consist of?,What does a question consist of?,1
1482,What are the two parts of the body where sperm cells grow?,"Who was the last known person to be hanged on April 29, 1865?",0
75,What is the relationship between Britain and France?,What is the name of the new area which opened to the public in 1931?,0
6331,"Which of the following is not an island: the Republic of Ireland, Bermuda, Bermuda, or Bermuda?",what is the capital of bermuda?,1
2083,Which country seized control of the Falkland Islands in 1982?,Who seized the Falkland Islands?,1
2745,What is the name of the ice cream shop in the television series?,What is the name of the ice cream shop in the TV series?,1
1072,What is the name of the island in Nigeria in the central Atlantic Ocean?,What do you call the smallest insect?,0
1885,What is the main purpose of the Chinese New Year?,How many books are there in the Bible?,0
3552,What is the capital of Mexico?,How much do you love the ocean?,0
7180,How many people were in the audience?,Who was in the audience?,1
2213,"Where did Victoria, Prince Albert and their sons live when they were young?",What do you call someone who does not believe in God?,0
1854,Who was the leader of the Allied Forces in the Battle of the Bulge?,Who is the American President who had been defeated by the Soviet Union in the Pacific War?,1
3244,What is the name of the person who volunteered to make a pact with the devil in exchange for the ability to play the piano?,What is the title of the book written by Thomas Hardy?,0
5580,Who was the first Greek to visit Greece?,What was the name of the character played by Freddie Highmore?,0
951,What does the n stand for in a standardized abbreviation of English?,What does N stand for?,1
1994,What is the most common item of clothing worn by humans?,Clothing is the largest industry in which field?,1
6193,How did Victoria die?,What was the first UK postcode?,0
6832,"What is the name of the person, in Shakespeare's play, who is the keeper of the keys to the Tower of London?",What type of music is the movie 'Alfred Hitchcock Presents'?,0
2851,What is the meaning of the 'da' sound in a word?,What did Aristotle believe about free will?,0
4017,How are the rays emitted by the sun classified?,How old were the earliest humans on Earth?,0
634,Who is the leader of the Free French?,How many atoms are in a helium atom?,0
6246,What is the name of the large river on the island of Gran Canaria?,Which two characters appeared in the comic strip Charlie Brown?,0
3335,What did Paul VI say that God used to fulfill his plans for people?,How much did Jesus weigh when he died?,0
754,What does a male need to be to qualify for a sex act?,Who is the emancipated female subject?,1
7677,What is the longest line of text found in the Bible?,How long is the longest line of text in the bible?,1
2638,"What was the name of the spacecraft that crashed on July 11, 1972, on Enola Gay?",Where was the first transatlantic telephone cable laid?,0
4668,What is the name of the slang term used in the US to refer to a person who uses too much hand lotion?,What is the name of the Chinese company in which Lee is an employee?,0
748,Why did John die?,Whose sake is it worth dying for?,1
7223,What was the name of the horse that was thrown into the first sabre fight?,What animal is a quagga?,1
4186,Who was the king of the Iroquois Confederacy?,Who negotiated the Treaty of Paris?,1
5779,Why did the Romans move to Gaul?,What was the name of the man who found the body of Jesus in the caves?,0
7466,What is the name of the Chinese philosopher who is famous for his 'Three Treasures'?,Where is the city of Hua Tzu?,1
3597,What was the name of the famous horse race held in Ireland in the 19th century?,What was the name of the famous horse race in Ireland in the 19th century?,1
3122,What is another term for the area of the brain between the hemispheres?,What is the name of the random question generator?,0
6025,Why did the people of the Inca Empire invade Mexico?,Why did the Inca Empire invade Mexico?,1
6664,What is a famous fictional character from the American West?,How are the Chinese people identified?,0
1048,"Which is not a last name, Norwood, or the city, Philadelphia?",What is the largest city by area in the US?,1
3208,How many terabytes of data did the 2009-2010 American government create?,Where did the Black Plague break out?,1
4751,What is the name of the game in which a player has to guess cards from a deck without looking at them?,What is the name of the island in Bermuda where the American and British governments based their presence during the Revolutionary War?,0
2100,What was the name of the ship on which the Marquis de Sade was lost?,What is a random event that can happen at any time?,0
1342,How does a saxophone player usually start playing?,Who is the ruler of the Greeks?,0
903,What is the name of the narrator in 'The Lord of the Rings'?,"What is the meaning of the phrase ""do unto others as you would have them do unto you""?",0
5064,How many pieces of music are in an average set of concertos?,What did the Romans think would happen if Alexander had not won the Battle of Cannae?,0
3069,What is one of the advantages of being a member of the ABBA?,How did Bjorn Ulvaeus become part of ABBA?,1
3035,Who is the leader of the djinn?,What is a jigsaw puzzle made up of?,0
1263,What is a nickname for a person who smears graffiti?,What did Napoleon want the French to do?,0
5542,How many types of osmosis do cells need to occur in a particular organism to cause a reaction?,what is osmosis?,1
7395,How does a person get a job in the police?,What was the name of the first spacecraft to orbit the earth?,0
3515,What word can be used to describe someone who has a bad attitude?,What type of electricity does a capacitor store?,1
6782,What does the C in C.A.T. stand for?,What does C.A.T. stand for?,1
7526,What do you think about the person who has just been in a car accident?,What is the name of the computer game in which players try to shoot and kill each other?,0
5748,What is a long question that has a random answer?,What does the long question have?,1
3059,What is the name of the narrator in the book?,What was the name of the famous horse that won the Epsom Derby in 1973?,0
7641,Where did the earliest known evidence of agriculture come from?,What is the name of the island on which the USS Constitution is built?,0
3486,What are a group of plants collectively called?,What is the name of the zoo in the Harry Potter stories?,0
5738,Who was the second female singer from Greece to be nominated for an Academy Award for Best Original Score for a Motion Picture?,What is the name for a group of asexually reproducing organisms?,0
1798,How did John die?,What did John die of?,1
1946,What was the name of the film that won a Golden Globe for Best Picture?,How are ants related to elm trees?,0
6336,How do I know what kind of creature I am?,What do I do if I have a question about the creatures I know?,1
1973,What was the name of the person who came up with the game of chess?,How did one of the characters die?,0
7035,Why were the British soldiers at the gates?,What is the name of the game show hosted by Darren McGavin and Alex Trebek on ABC?,0
7209,What is the name of the mascot for the UK's National Lottery?,What is the name of the Lottery mascot?,1
625,How is the world divided?,what is the name of the geographic area in which europe and the rest of the continents are divided?,1
2747,How many ways can you recite the name of God?,How is God referred to in the Qur'an?,1
1031,How do you know if a plant is a flower?,Why did Jesus pray at the Mount of Olives?,0
1145,How did a woman who was the first to be infertile become pregnant?,What happened to the first woman who was infertile?,1
7733,What is a pseudonym for the Chinese?,Who was the first to write about China?,1
3248,Where did the saviour of the world come from?,What is another name for a random decision maker?,0
326,What kind of creature is a'sheepshead'?,Who is the author of the book The God of Small Things?,0
163,What is a major dietary nutrient of squid?,What is a person who does not have enough food for themselves to eat called?,0
1683,What was the name of the US-based anthropologist whose work with dogs led to his reclassification as a psychologist?,What is the smallest unit of measurement that has four places?,0
5128,What was the name of the Russian group formed by a group of prominent Russians?,"Which of these is not a type of fruit: avocado, melon or mandarin?",0
6141,What is the meaning of the letter B in the English alphabet?,Who was the Roman god of war?,0
5277,What is the syllable count of the English alphabet?,Where did the 'Mongolian War' take place?,0
1139,What is the name of the symbiosis involving bacteria and fungi?,What is the term for a relationship between organisms in which one organism benefits and another one is harmed?,1
2494,What are the odds that the atoms are in the correct order?,What is the name of the song that features in the film Casablanca?,0
3201,Who was elected to lead the Free French Army during the Second World War?,How do you know something is worth learning?,0
3839,Which is the only one of the three letters that can be used in this word?,What is the only letter of the three that can be used in this word?,1
5410,What is the common name for the herb wormwood?,How many square miles is Oklahoma City?,0
4159,How would you describe your work and what do you do?,How does a scientist create a model?,0
4242,What did the French call Bermuda?,What is the name of the group that performs under the name of The Who?,0
3054,What was the first country to establish a centralized postal service?,Where is the headquarters of the European Court of Human Rights located?,1
6745,What type of object was Avicenna?,What is the name of the largest lake on the east coast of the U.S.?,0
2403,How many square miles of land are there in Bermuda?,What is the name of the first aristocratic family in Rome?,0
7746,What is the first letter of the second line of the poem by George Gordon Byron?,What do we call a person who has a strong passion for the arts?,0
1374,Where did the first Christians meet?,Where did the first Christian churches meet?,1
2191,What is the smallest type of organism on earth?,What does the symbol  mean in Chinese?,0
2751,What was the longest-lasting civil war in history?,What was the American Civil War?,1
7525,What did the man in the video do to the lion?,What does the trainer do with the lion?,1
7576,Where did Avicenna go to school?,Where did Avicenna go to school?,1
1682,What was the name of the British airfield in the Bermuda Triangle?,Where is the Bermuda Triangle?,1
5983,What did Fr̩d̩ric do after he became a member of the Academy?,What is the name of the encoding method used to encode a stream of bytes into an ASCII text?,0
3724,Who first formulated the monetary system?,How old was Albert Einstein when he received the Nobel Prize?,0
5663,How many square miles are in Bermuda?,Where did Darwin meet Beatrice Webb?,0
591,What was the name of the book in which 'O. Henry's' works were featured?,"What is the title of a collection of O. Henry's stories, including many stories from his earlier works?",1
7203,What is the name of the fictional city that is the setting for the books and films of Jane Austen?,What is the smallest unit of length that can be produced by a computer?,0
4756,"Which is not a capital letter, y or z?",What's the name of the lizard which is a type of snake?,0
6592,Who discovered the pyramids?,What was the name of the alcoholic beverage that was invented by the American pharmacist John Pemberton?,0
4075,What was the name of the horse that defeated the Russian Czar in the Battle of Borodino?,Where was Henry VII born?,0
5136,How would one describe Gneiss?,What is the name for a hive of insects?,0
2501,What type of question is this?,What did the article in the Times say?,1
7472,What is the name of the animal that is a member of the genus Canis?,What is a dog's closest relative?,1
4042,What does a tarot card do?,What are the four parts of a square that can be divided into two equal halves?,0
6578,What is the name of the character played by Keira Knightley in the film?,What is the name of the famous English novelist who grew up in the South of France?,1
5804,How are all members of the same family related?,Who has been a major influence in the history of Nigeria?,0
1192,What is the main topic of this news article?,What was the tenth number in the first prime number sequence?,0
6022,What is the name of the fictional town in the Harry Potter series of books?,Where do wolves live?,0
3729,What is the grammatical unit of adverbs?,what is the grammatical unit of adverbs?,1
4043,What is the name of the island in the Netherlands that was seized by Germany in 1940?,How do you make a random selection of letters in a word?,0
5811,What is the name of the zoo in Nigeria?,The zoo is located on what?,1
1177,How do you say a lot in Chinese?,how do you say a lot?,1
5302,What kind of animal is a giraffe?,What kind of animal are giraffes?,1
2835,What type of game is a three player chess game?,Who beat Fischer?,1
2249,What are the names of the two countries that were involved in the Crimean War?,Crimea became part of which country in 1854?,1
772,What is the name of the ape-like animal with a melon-sized brain that was the precursor of modern mammals?,What did you do in school that was completely different from what you do now?,0
1480,What is the shortest time that a coin can be held in one hand?,What type of animal is a koala?,0
4031,What is the monetary unit in Nigeria?,What is Nigeria's currency?,1
523,What is the name of the character in the novel The Jungle Book?,Where is the Great Salt Lake located?,0
2518,Where is the city of Paris located?,Where is Paris located?,1
1132,What is the name of the song that starts with the letter 'A' and ends with the letter 'C'?,Where did the abolitionists settle?,0
4241,What is the meaning of 'Satan's' in Hebrew?,Who is Satan in the Bible?,1
262,What is the only country that has a national flag?,Who did the king give the sword to?,0
3433,What is the title of the novel by Stephen King?,How many players in the Arena Football League were born in China?,0
3407,How many years did a human have to live to reach adulthood?,When is a child not an adult?,1
2896,What do you call a giraffe?,What type of animal is a giraffe?,1
1378,How long was the rule of the Roman Empire?,How long did the Roman Empire rule?,1
2712,"What is another way to say ""too much""?",Is too much of a good thing a bad thing?,1
2256,How many ribs are there in a pig?,What do you call a 'Mr. Clean' with no last name?,0
5422,What are the three things that are necessary for a horse to be a thoroughbred?,What is a character in the Japanese manga/anime series Cowboy Bebop called?,0
1498,What is the name of the wing that a bird uses to fly?,How many different ways of expressing the same basic idea are there?,0
3413,What is another name for an ennobled person?,How many different things did Leonardo da Vinci have as an artist?,0
7652,Why did King Henry VIII send a commission to impose the Anglican system on the country?,Who sent a commission to impose the Anglican system on the country?,1
7137,What was the name of the fictional character in which the original film is based?,How many square meters of ice did the team have to cover?,0
6261,Which word comes before blunder?,Why did they make the blunder?,1
4868,Who did John make the first transvestite?,What is the name of the female character in the story A Christmas Carol?,0
57,What was the name of the company that made the jukebox that allowed you to listen to your music from the internet?,Where is the American Music Jukebox manufactured?,1
1609,What is the name of the group of fungus plants found in the Alps?,What was thrown into the river by the man whose body was found?,0
1811,How many people did the reeds originally come from?,How many people make up a band?,1
7325,"What is a random, long question that has a number of possible answers?","What is the grammatical form of the word ""catalog""?",1
6584,What is the name for the process by which new knowledge is learned?,How are the bones of the skull formed?,0
6438,How are the 'Old Time' radio stations grouped?,Where did the sand in Namibia come from?,0
7696,What do 'dodge' and'sleep' mean in English?,What is the largest of the three oceans surrounding Earth?,0
6294,What do ants do to trees to protect themselves from predators?,How do ants protect themselves from predators?,1
1733,Where is the city of San Miguel?,What is the capital of San Miguel?,1
6857,What is the name of the game where players have to get points in order to get a prize?,What was the original point of the game?,1
3640,What is the name of the horse that was owned by the man in the story?,What is a genus of plants with similar characteristics?,0
5239,What was the name of the long-running radio quiz show hosted by David Frost?,What is the name of the business magazine?,1
2906,What is the only country that is on the same latitude as Greenland?,Who is the person that created the internet?,0
4647,What is the meaning of the abbreviation 'nao'?,What did Shakespeare do in 1623?,0
630,Where was the second battle of Borodino?,Which battle did Napoleon lose to the Russians?,1
7753,What is the longest road in the world?,The road from the northernmost tip of Alaska to the southernmost tip of Chile is what in kilometers?,1
1487,"Where was the ""Gaulish Confederacy"" located?",Who was the first European country to create a railway system?,1
152,What is the name of the largest animal on Earth?,What are the two types of cells in the human body?,0
6150,What does the acronym SCA stand for?,What are the courses of study in the U.S. and Canada?,1
6626,What is the name of the octagonal building in the middle of the park?,What are the characteristics of the genus of plants called saxifrage?,0
110,How did you respond to the news of the death of the Princess of Wales?,What are the chromosomes of an equine called?,0
6016,What does a genealogist do?,What are the first four letters of the Greek alphabet?,0
5463,What is the name of the country where the American Football team lost the 2014 FIFA World Cup Final?,Where was USS Constitution commissioned?,1
7624,What is the title of the second book in the Harry Potter series?,What is a random number generator?,0
3760,"What does the R in ""Royals"" stand for?",What is a random number?,0
7372,What do we call the study of a person's ancestry based on DNA analysis?,Where was the earliest known cave in Nigeria?,0
4940,"What was the name of the country's first atomic bomb, launched on July 16, 1945?",How was the first atomic bomb of Japan called?,1
948,How is the body affected by exposure to ethylene glycol?,"What is the relationship between the Alps, the Pyrenees, and the Iberian Peninsula?",0
5078,What is the most common letter in the English language?,What is the most common letter in the English language?,1
